Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,3.380000,3.580000,3.050000,3.120000,3.120000,2624000
2021-05-07,3.150000,3.310000,3.120000,3.250000,3.250000,1412400
2021-05-10,3.280000,3.400000,3.070000,3.100000,3.100000,2235300
2021-05-11,3.000000,3.280000,2.750000,3.140000,3.140000,3028900
2021-05-12,3.140000,3.260000,2.910000,2.920000,2.920000,1886800
2021-05-13,2.760000,2.900000,2.450000,2.560000,2.560000,4845800
2021-05-14,2.760000,2.990000,2.700000,2.870000,2.870000,1892100
2021-05-17,2.490000,2.650000,2.480000,2.570000,2.570000,2318900
2021-05-18,2.560000,2.650000,2.530000,2.580000,2.580000,1644900
2021-05-19,2.140000,2.540000,2.000000,2.400000,2.400000,4183000
2021-05-20,2.550000,2.640000,2.420000,2.540000,2.540000,1915800
2021-05-21,2.520000,2.600000,2.280000,2.350000,2.350000,1820900
2021-05-24,2.400000,2.730000,2.340000,2.710000,2.710000,2624200
2021-05-25,2.590000,2.590000,2.430000,2.500000,2.500000,2111600
2021-05-26,2.600000,2.680000,2.540000,2.650000,2.650000,1434400
2021-05-27,2.670000,2.820000,2.650000,2.720000,2.720000,1443900
2021-05-28,2.580000,2.650000,2.490000,2.510000,2.510000,1460700
2021-06-01,2.600000,2.600000,2.460000,2.480000,2.480000,1441500
2021-06-02,2.570000,2.600000,2.520000,2.570000,2.570000,1204700
2021-06-03,2.580000,2.590000,2.490000,2.510000,2.510000,1228400
2021-06-04,2.480000,2.510000,2.460000,2.490000,2.490000,860600
2021-06-07,2.450000,2.540000,2.400000,2.420000,2.420000,1030800
2021-06-08,2.400000,2.420000,2.170000,2.400000,2.400000,2480700
2021-06-09,2.450000,2.550000,2.380000,2.460000,2.460000,1130200
2021-06-10,2.550000,2.550000,2.420000,2.440000,2.440000,799300
2021-06-11,2.450000,2.550000,2.370000,2.400000,2.400000,830600
2021-06-14,2.500000,2.630000,2.460000,2.610000,2.610000,1708600
2021-06-15,2.600000,2.670000,2.510000,2.600000,2.600000,758900
2021-06-16,2.540000,2.580000,2.430000,2.440000,2.440000,670100
2021-06-17,2.640000,2.660000,2.550000,2.550000,2.550000,2066900
2021-06-18,2.550000,2.560000,2.380000,2.430000,2.430000,1689800
2021-06-21,2.350000,2.400000,2.310000,2.390000,2.390000,1461700
2021-06-22,2.280000,2.320000,2.050000,2.290000,2.290000,3009000
2021-06-23,2.390000,2.400000,2.320000,2.330000,2.330000,1000700
2021-06-24,2.400000,2.420000,2.330000,2.360000,2.360000,592400
2021-06-25,2.360000,2.370000,2.240000,2.270000,2.270000,984500
2021-06-28,2.330000,2.360000,2.300000,2.340000,2.340000,780200
2021-06-29,2.450000,2.760000,2.450000,2.750000,2.750000,6899400
2021-06-30,2.700000,3.200000,2.560000,2.860000,2.860000,6480700
2021-07-01,2.940000,3.170000,2.800000,3.100000,3.100000,5779300
2021-07-02,3.120000,3.300000,2.860000,3.070000,3.070000,4528900
2021-07-06,3.120000,3.130000,2.880000,2.890000,2.890000,4434000
2021-07-07,2.930000,2.970000,2.630000,2.710000,2.710000,2899200
2021-07-08,2.500000,2.510000,2.300000,2.490000,2.490000,3246800
2021-07-09,2.580000,2.620000,2.470000,2.500000,2.500000,1815700
2021-07-12,2.650000,2.660000,2.480000,2.520000,2.520000,2535800
2021-07-13,2.450000,2.510000,2.330000,2.380000,2.380000,2802100
2021-07-14,2.370000,2.430000,2.310000,2.320000,2.320000,1817600
2021-07-15,2.260000,2.370000,2.140000,2.190000,2.190000,2645800
2021-07-16,2.240000,2.280000,2.140000,2.160000,2.160000,1463800
2021-07-19,2.040000,2.060000,1.950000,1.980000,1.980000,2982400
2021-07-20,1.970000,2.210000,1.870000,2.190000,2.190000,2961800
2021-07-21,2.310000,2.460000,2.230000,2.290000,2.290000,4953000
2021-07-22,2.360000,2.360000,2.230000,2.260000,2.260000,1374700
2021-07-23,2.340000,2.340000,2.150000,2.180000,2.180000,1385900
2021-07-26,2.460000,2.640000,2.400000,2.550000,2.550000,10030400
2021-07-27,2.500000,2.500000,2.270000,2.340000,2.340000,3070800
2021-07-28,2.420000,2.470000,2.380000,2.400000,2.400000,2405000
2021-07-29,2.410000,2.460000,2.340000,2.380000,2.380000,1340500
2021-07-30,2.220000,2.620000,2.200000,2.570000,2.570000,5845500
2021-08-02,2.540000,2.900000,2.540000,2.680000,2.680000,5228700
2021-08-03,2.570000,2.720000,2.510000,2.680000,2.680000,2600100
2021-08-04,2.740000,2.830000,2.670000,2.780000,2.780000,3393800
2021-08-05,2.730000,3.060000,2.640000,2.920000,2.920000,8402600
2021-08-06,2.960000,3.150000,2.860000,3.040000,3.040000,7500900
2021-08-09,3.240000,3.420000,3.180000,3.240000,3.240000,8435000
2021-08-10,3.270000,3.290000,2.960000,3.090000,3.090000,5143300
2021-08-11,3.200000,3.340000,3.130000,3.210000,3.210000,5050200
2021-08-12,3.170000,3.180000,2.880000,3.110000,3.110000,5103500
2021-08-13,3.250000,3.270000,3.030000,3.040000,3.040000,3214900
2021-08-16,3.130000,3.140000,2.950000,2.950000,2.950000,3366400
2021-08-17,2.940000,3.010000,2.660000,2.690000,2.690000,3847200
2021-08-18,2.700000,2.950000,2.660000,2.780000,2.780000,3449500
2021-08-19,2.700000,2.980000,2.680000,2.950000,2.950000,3339100
2021-08-20,3.020000,3.150000,2.930000,3.040000,3.040000,4608000
2021-08-23,3.210000,3.230000,3.000000,3.060000,3.060000,4146000
